time,idle_time,usr_time,interrupt_time,mem_total,mem_available,mem_percent,n_packets,tcp_packets,packet_size
1729859557822,7592.437499999999,961.0625,18.21875,16907886592,8376913920,50.5,4,0,587
1729859559294,7602.812499999999,961.5625,18.234375,16907886592,8365658112,50.5,24,1,4104
1729859560750,7612.734374999999,962.390625,18.25,16907886592,8355475456,50.6,34,1,5472
1729859562148,7622.828124999999,963.0,18.25,16907886592,8352288768,50.6,3,0,388
1729859563557,7632.890624999999,963.609375,18.25,16907886592,8354623488,50.6,24,2,5647
1729859564919,7642.546874999999,964.25,18.25,16907886592,8350957568,50.6,0,0,0
1729859566315,7652.374999999999,964.875,18.25,16907886592,8351240192,50.6,0,0,0
1729859567728,7662.249999999999,965.453125,18.25,16907886592,8338817024,50.7,0,0,0
1729859569181,7672.468749999999,965.96875,18.296875,16907886592,8333303808,50.7,1,0,135
1729859570611,7682.640624999999,966.578125,18.3125,16907886592,8333361152,50.7,0,0,0
1729859572118,7692.796874999999,967.4375,18.328125,16907886592,8339927040,50.7,0,0,0
1729859573641,7703.765624999999,967.9375,18.328125,16907886592,8335855616,50.7,20,0,5336
1729859575128,7714.281249999999,968.375,18.359375,16907886592,8332685312,50.7,6,0,711
1729859576515,7723.781249999999,969.046875,18.375,16907886592,8320376832,50.8,2,0,569
1729859577959,7734.046875,969.609375,18.375,16907886592,8346251264,50.6,12,4,3245
1729859579502,7745.0,970.1875,18.375,16907886592,8341536768,50.7,0,0,0
1729859581034,7755.625,971.0,18.375,16907886592,8339070976,50.7,16,0,2285
1729859582423,7765.3125,971.609375,18.375,16907886592,8336195584,50.7,0,0,0
1729859583979,7776.0,972.421875,18.421875,16907886592,8333467648,50.7,5,3,3457
1729859585364,7786.09375,972.796875,18.4375,16907886592,8332566528,50.7,6,0,676
1729859586794,7795.84375,973.515625,18.4375,16907886592,8312795136,50.8,14,0,2048
1729859588203,7805.984375,974.0,18.4375,16907886592,8309837824,50.9,0,0,0
1729859589639,7816.171875,974.421875,18.4375,16907886592,8315273216,50.8,41,4,6310
1729859592107,7834.0,975.28125,18.46875,16907886592,8315056128,50.8,0,0,0
1729859593548,7844.40625,975.78125,18.46875,16907886592,8301527040,50.9,22,4,3628
1729859596064,7863.125,976.421875,18.5,16907886592,8303017984,50.9,0,0,0
1729859597531,7873.484375,977.03125,18.53125,16907886592,8291905536,51.0,0,0,0
1729859598940,7883.109375,977.8125,18.53125,16907886592,8294129664,50.9,3,0,527
1729859601355,7901.125,978.171875,18.546875,16907886592,8295747584,50.9,0,0,0
1729859602802,7911.328125,978.8125,18.546875,16907886592,8285786112,51.0,0,0,0
1729859604252,7921.53125,979.546875,18.546875,16907886592,8262963200,51.1,4,0,1001
1729859605644,7931.234375,980.140625,18.546875,16907886592,8258195456,51.2,0,0,0
1729859607194,7941.59375,981.015625,18.5625,16907886592,8252510208,51.2,0,0,0
1729859608817,7953.15625,981.53125,18.59375,16907886592,8295510016,50.9,0,0,0
